Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10199236,1,"Monday, March 28, 2011 01:02:07 UTC",59.9637,-152.9834,2.5,121.20,13,"Southern Alaska"
ci,14958076,3,"Monday, March 28, 2011 00:25:20 UTC",32.2637,-115.3533,3.3,0.40,21,"Baja California, Mexico"
ak,10199202,1,"Sunday, March 27, 2011 23:31:15 UTC",59.5478,-150.8815,3.2,35.00,70,"Kenai Peninsula, Alaska"
nc,71543330,1,"Sunday, March 27, 2011 22:33:46 UTC",38.8177,-122.7878,2.7,2.00,40,"Northern California"
us,c0002cqa,A,"Sunday, March 27, 2011 22:23:58 UTC",38.4016,142.1021,6.1,17.10,577,"near the east coast of Honshu, Japan"
us,c0002cpz,5,"Sunday, March 27, 2011 21:56:36 UTC",14.5063,-92.6747,4.3,46.90,50,"offshore Chiapas, Mexico"
pr,11086005,0,"Sunday, March 27, 2011 21:05:29 UTC",17.9479,-66.2750,2.5,6.00,14,"Puerto Rico"
us,c0002cnu,5,"Sunday, March 27, 2011 20:50:28 UTC",39.4506,142.3333,4.6,54.10,41,"near the east coast of Honshu, Japan"
ak,10199134,2,"Sunday, March 27, 2011 20:27:01 UTC",53.1914,-167.2688,3.3,8.40,18,"Fox Islands, Aleutian Islands, Alaska"
nc,71543235,1,"Sunday, March 27, 2011 20:21:14 UTC",38.7953,-122.8010,2.5,3.70,49,"Northern California"
ci,14957932,2,"Sunday, March 27, 2011 17:10:28 UTC",32.5500,-115.7230,2.7,2.50,49,"Baja California, Mexico"
us,2011izbk,5,"Sunday, March 27, 2011 16:54:15 UTC",37.1693,143.7884,4.6,6.80,30,"off the east coast of Honshu, Japan"
pr,11086003,0,"Sunday, March 27, 2011 15:33:34 UTC",19.0009,-65.0459,3.3,18.00,15,"Virgin Islands region"
pr,11086004,0,"Sunday, March 27, 2011 15:32:36 UTC",18.9069,-65.0220,2.6,39.00, 5,"Virgin Islands region"
us,2011izbh,6,"Sunday, March 27, 2011 15:17:46 UTC",37.6972,141.7308,4.8,20.10,156,"near the east coast of Honshu, Japan"
us,2011izbg,6,"Sunday, March 27, 2011 14:44:27 UTC",38.0581,144.6625,4.7,7.80,71,"off the east coast of Honshu, Japan"
us,c0002ck7,A,"Sunday, March 27, 2011 13:41:35 UTC",38.9403,142.3197,5.6,48.60,372,"near the east coast of Honshu, Japan"
us,c0002cjy,8,"Sunday, March 27, 2011 13:26:36 UTC",-8.6798,-74.5987,4.8,125.60,132,"central Peru"
us,c0002cji,7,"Sunday, March 27, 2011 12:15:13 UTC",53.8407,160.5987,4.8,54.30,202,"near the east coast of the Kamchatka Peninsula, Russia"
us,c0002cj7,7,"Sunday, March 27, 2011 11:25:41 UTC",23.9691,123.4161,4.7,45.50,40,"southwestern Ryukyu Islands, Japan"
us,c0002cix,5,"Sunday, March 27, 2011 11:08:25 UTC",37.3350,141.4472,4.8,47.50,91,"near the east coast of Honshu, Japan"
us,c0002ciw,4,"Sunday, March 27, 2011 11:02:03 UTC",21.8618,143.0117,4.3,284.40,40,"Mariana Islands region"
us,c0002cip,9,"Sunday, March 27, 2011 10:59:26 UTC",-24.0217,179.9431,5.0,530.10,351,"south of the Fiji Islands"
us,c0002cig,7,"Sunday, March 27, 2011 10:23:22 UTC",35.2604,141.1234,4.9,38.30,150,"near the east coast of Honshu, Japan"
us,c0002cie,7,"Sunday, March 27, 2011 09:13:07 UTC",37.7967,143.3381,4.8,41.10,164,"off the east coast of Honshu, Japan"
us,c0002cic,8,"Sunday, March 27, 2011 09:03:34 UTC",37.7540,143.3635,4.7,37.20,95,"off the east coast of Honshu, Japan"
us,c0002chs,9,"Sunday, March 27, 2011 07:10:05 UTC",38.0823,144.1610,4.6,27.10,25,"off the east coast of Honshu, Japan"
us,c0002che,9,"Sunday, March 27, 2011 06:20:57 UTC",14.4486,-92.3459,5.7,44.90,407,"offshore Chiapas, Mexico"
pr,11086002,0,"Sunday, March 27, 2011 06:08:45 UTC",18.6240,-65.0390,2.9,31.40, 4,"Virgin Islands region"
us,c0002cgf,A,"Sunday, March 27, 2011 05:07:54 UTC",40.1062,141.8194,4.8,51.00,134,"near the east coast of Honshu, Japan"
ak,10198962,1,"Sunday, March 27, 2011 05:01:21 UTC",60.1637,-152.7983,2.8,102.10,60,"Southern Alaska"
ak,10198950,1,"Sunday, March 27, 2011 04:23:19 UTC",59.7152,-153.4558,2.5,148.30,36,"Southern Alaska"
us,c0002cfk,6,"Sunday, March 27, 2011 04:09:04 UTC",11.3279,-86.8562,4.4,65.80,61,"near the coast of Nicaragua"
nm,032711a,A,"Sunday, March 27, 2011 03:26:44 UTC",35.1940,-92.1972,2.6,7.40,15,"Arkansas"
us,c0002cf4,E,"Sunday, March 27, 2011 03:20:17 UTC",40.1933,142.2466,5.1,29.60,216,"near the east coast of Honshu, Japan"
pr,11086000,0,"Sunday, March 27, 2011 03:11:54 UTC",18.5410,-67.5059,2.8,15.70, 9,"Puerto Rico region"
nn,00330747,7,"Sunday, March 27, 2011 01:51:27 UTC",37.1585,-117.3831,3.3,13.10,18,"Nevada"
nc,71542980,1,"Sunday, March 27, 2011 01:46:20 UTC",36.7758,-121.4920,2.5,7.90,58,"Central California"
us,c0002cds,5,"Sunday, March 27, 2011 00:23:53 UTC",36.9201,144.4695,4.7,37.70,125,"off the east coast of Honshu, Japan"
us,c0002ccy,9,"Saturday, March 26, 2011 22:49:42 UTC",-15.7885,-179.4936,5.9,13.40,299,"Fiji region"
pr,11085002,0,"Saturday, March 26, 2011 21:54:36 UTC",18.6709,-66.7389,2.5,69.00, 8,"Puerto Rico region"
ak,10198884,2,"Saturday, March 26, 2011 21:07:28 UTC",53.4072,-163.5001,2.7,38.20, 9,"Unimak Island region, Alaska"
hv,60225921,1,"Saturday, March 26, 2011 20:42:28 UTC",18.1242,-155.4038,2.9,6.30,47,"Hawaii region, Hawaii"
us,c0002c9z,5,"Saturday, March 26, 2011 20:19:50 UTC",-9.3507,121.8172,4.4,65.80,28,"Savu Sea"
us,c0002c8j,6,"Saturday, March 26, 2011 20:05:56 UTC",36.2442,142.0300,4.6,36.70,56,"off the east coast of Honshu, Japan"
ci,14957620,3,"Saturday, March 26, 2011 20:01:34 UTC",32.2308,-115.3663,3.6,29.10,29,"Baja California, Mexico"
hv,60225891,1,"Saturday, March 26, 2011 19:29:02 UTC",19.4760,-155.4417,2.7,9.70,34,"Island of Hawaii, Hawaii"
us,c0002c7h,6,"Saturday, March 26, 2011 19:22:04 UTC",36.8029,141.6117,4.8,33.90,94,"near the east coast of Honshu, Japan"
us,c0002c5m,5,"Saturday, March 26, 2011 17:32:17 UTC",35.7249,140.9818,4.8,48.90,58,"near the east coast of Honshu, Japan"
us,c0002c4m,5,"Saturday, March 26, 2011 16:25:14 UTC",34.3785,32.2142,4.2,23.20,29,"Cyprus region"
us,c0002c4d,5,"Saturday, March 26, 2011 16:06:52 UTC",36.3404,141.0203,4.8,41.80,53,"near the east coast of Honshu, Japan"
us,c0002c34,7,"Saturday, March 26, 2011 13:17:00 UTC",37.1064,143.0520,4.7,36.70,92,"off the east coast of Honshu, Japan"
us,c0002c2t,9,"Saturday, March 26, 2011 12:52:53 UTC",36.9625,143.2792,5.2,37.60,300,"off the east coast of Honshu, Japan"
nc,71542720,1,"Saturday, March 26, 2011 12:47:04 UTC",38.8358,-122.7723,2.7,2.50,48,"Northern California"
us,c0002c29,6,"Saturday, March 26, 2011 11:38:53 UTC",0.7608,-29.1813,4.9,10.00,30,"central Mid-Atlantic Ridge"
